X,y
P2PARLOSTJOB,
P2FORECLOSED,
P2PARDIVORCE,
P2PARHEALTH,
P2PARDIED,
P2TEENHEALTH,
P2TEENCHILD,
P2HWOFTEN,
P2MUSEUM,
P2COMPUTER,
P2FIXED,
P2SCIPROJ,
P2LIBRARY,
P2SHOW,
P2ARTEXHIBIT,
P2NATLPARK,
P2RELIGGRP,
P2GOODJOB,
P2DROPOUTOK,
P2BADGRADES,
P2SCHWASTE,
P2SCHOLARSHIP,
P2DISCCOURSES,
P2DISCCLGEXAM,
P2DISCCLGAPP,
P2DISCCAREER,
P2DISCJOBS,
P2DISCEVENTS,
P2DISCTROUBLE,
P2CONTACTSCH,
P2TALKHSCNSL,
P2TALKCLGCNSL,
P2CLGEXAMPREP,
P2HELPCLGAPP,
P2SUREDIPL,
P2SUREBA,
P2ABLEBA,
P2TYPEPS2013,
P2HOMELANG,
P2ENGLISH,
M1SEX,
M1HIDEG,
M1ALTCERT,
M1CERTTYPE,
M1SCHYRS,
M1TEACHING,
M1LEARNING,
M1BELIEVE,
M1CLEARGOALS,
M1GIVEUP,
M1CARE,
M1EXPECT,
M1WORKHARD,
M1COURSE,
M1ACHIEVE,
M1GROUP,
M1ASSIGN,
M1INTEREST,
M1CONCEPTS,
M1ALGORITHM,
M1COMPSKILLS,
M1PROBLEM,
M1REASON,
M1IDEAS,
M1PREPARE,
M1LOGIC,
M1HISTORY,
M1EXPLAIN,
M1BUSINESS,
M1COMPUTE,
M1TEST,
M1ADVSENIOR,
M1ADVBCKGRND,
M1ADVALL,
M1NCNEW,
M1HELPAVAIL,
M1HELPQUALTY,
M1SHRIDEAS,
M1WORKSHOP,
M1SHRSTWRK,
M1SHRLESSONS,
M1SHRBELIEFS,
M1SHRMTHDS,
M1SHRELL,
M1SHRAPPRCH,
M1SHRCONTENT,
M1EFFECTIVE,
M1MENTOR,
M1CHAIR,
M1TARDY,
M1STUABSENT,
M1CUT,
M1TCHRABSENT,
M1ABLRANGE,
M1SESRANGE,
M1LANGRANGE,
M1SPECNEED,
M1PROFDEV,
M1ADMSUPPORT,
M1COMPUTER,
M1TECHSUPPRT,
M1BOOKS,
M1STUEQUIP,
M1DEMOEQUIP,
M1FACILITIES,
M1RATIO,
M1PLANNING,
M1AUTONOMY,
M1FAMSUPPORT,
M1FAMILY,
M1DISCIPLINE,
M1STUACHIEVE,
M1PARENT,
M1RETAIN,
M1POORJOBRES,
M1TALLLEARN,
M1TFAIL,
N1SEX,
N1HIDEG,
N1NOSCIENCE,
N1SCIJOB,
N1ALTCERT,
N1CERTTYPE,
N1TEACHING,
N1LEARNING,
N1BELIEVE,
N1CLEARGOALS,
N1GIVEUP,
N1CARE,
N1EXPECT,
N1WORKHARD,
N1COURSE,
N1ACHIEVE,
N1UNPREPPCT,
N1ADVSENIOR,
N1ADVBCKGRND,
N1ADVALL,
N1NCNEW,
N1NCLOW,
N1NCALL,
N1SHRIDEAS,
N1WORKSHOP,
N1SHRSTWRK,
N1SHRLESSONS,
N1SHRBELIEFS,
N1SHRMTHDS,
N1SHRELL,
N1SHRAPPRCH,
N1SHRCONTENT,
N1EFFECTIVE,
N1MENTOR,
N1CHAIR,
N1TARDY,
N1STUABSENT,
N1CUT,
N1TCHRABSENT,
N1ABLRANGE,
N1SESRANGE,
N1LANGRANGE,
N1SPECNEED,
N1UNINTEREST,
N1MORALE,
N1PROFDEV,
N1ADMSUPPORT,
N1COMPUTER,
N1TECHSUPPRT,
N1BOOKS,
N1STUEQUIP,
N1DEMOEQUIP,
N1FACILITIES,
N1RATIO,
N1PLANNING,
N1AUTONOMY,
N1DISCIPLINE,
N1STUACHIEVE,
N1PARENT,
N1RETAIN,
N1POORJOBRES,
N1TALLLEARN,
N1TFAIL,
A1NOTIFY,
A1MTHSCIFAIR,
A1MSSUMMER,
A1MSAFTERSCH,
A1MSMENTOR,
A1MSSPEAKER,
A1MSFLDTRIP,
A1MSPRGMS,
A1MSPDLEARN,
A1MSPDINTRST,
A1G9SUMMER,
A1G9OVERAGE,
A1G9COMMUNTY,
A1G9BLOCKSCH,
A1G9DOUBLE,
A1G9STUDY,
A1G9TEACHER,
A1G9OTHRPROG,
A1G9ABSENTEE,
A1G9GRADES,
A1G9BEHIND,
A1G9BEHAVE,
A1G9TCHREF,
A1G9CNSLREF,
A1G9PRNTREF,
A1G9REQUEST,
A1G9OTHER,
A1OFFERDOPRV,
A1OFFERNONE,
A1YRSADMIN,
A1HRTEACHERS,
A1HRTEACHING,
A1HRPARENT,
A1HRPAPERWK,
A1TARDY,
A1TCHRABSENT,
A2DETENTION,
A2INSUSPEND,
A2OUTSUSPEND,
A2ABSENTFAIL,
A2PROMCRED,
A2REPEATG11,
A2RECOVERY,
A2SUMRSCH,
A2LRNCMNITY,
A2CATCHUP,
A2DOUBLEDOSE,
A2STUDYCLASS,
A2G11TEACHER,
A2STUDYPRGON,
A2STUDYPRGOFF,
A2PCTDOPRVON,
A2HIGHERED,
C1CASELOAD,
C1ASSIGNMENT,
C1HRSSCHED,
C1HRSCOLLEGE,
C1HRSCAREER,
C1HRSDEVELOP,
C1HRSJOBSKLL,
C1HRSPROBLEM,
C1HRSTESTING,
C1GOAL1,
C1GOAL2,
C1GOAL3,
C1PLAN,
C1PLANPARENT,
C1SIGNOFF,
C1TECHSUPPRT,
C1GIFTED,
C1SCHOLARSHP,
C1SUMMER,
C1OTHSUPPORT,
C1STAFF,
C1PULLOUT,
C1CREDREC,
C1HOMEWORK,
C1OUTSIDE,
